X center,Y center,Velocity,Movement(Moving / Center-point),Movement(Not Moving / Center-point),Acceleration state(Center-point / High acceleration),Acceleration state(Center-point / Low acceleration),Rel_Time
-15.8592,-12.8618,1.39467,1,0,0,1,-5.0
-15.8133,-12.8628,1.37744,1,0,0,1,-4.966999999999999
-15.764,-12.892,1.71947,0,1,0,1,-4.933
-15.749,-12.9005,0.515651,0,1,0,1,-4.899999999999999
-15.9182,-13.0609,6.99328,1,0,0,1,-4.866999999999997
-16.0221,-13.119,3.57063,1,0,0,1,-4.832999999999998
-15.8944,-13.0849,3.96482,1,0,0,1,-4.799999999999997
-15.8462,-13.0937,1.47041,1,0,0,1,-4.767000000000003
-15.7345,-13.1122,3.39439,1,0,0,1,-4.732999999999997
-15.6691,-13.1418,2.15373,1,0,0,1,-4.700000000000003
-16.2405,-13.1205,17.1513,1,0,0,1,-4.667000000000002
-16.4616,-13.1296,6.63874,1,0,0,1,-4.633000000000003
-16.6431,-13.1378,5.453,1,0,0,1,-4.600000000000001
-16.9243,-13.323,10.099,1,0,0,1,-4.567
-17.0566,-13.35,4.05188,1,0,0,1,-4.533000000000001
-17.1469,-13.3924,2.99267,1,0,0,1,-4.5
-17.1774,-13.399,0.936655,1,0,0,1,-4.466999999999999
-16.4782,-13.3823,20.9814,1,0,0,1,-4.433
-16.3199,-13.2671,5.87388,1,0,0,1,-4.399999999999999
-16.1799,-13.178,4.97891,1,0,0,1,-4.366999999999997
-16.0866,-13.0833,3.98737,1,0,0,1,-4.332999999999998
-16.1374,-13.1782,3.23011,1,0,0,1,-4.299999999999997
-16.0548,-12.9858,6.28108,1,0,0,1,-4.267000000000003
-16.0902,-13.0713,2.77433,1,0,0,1,-4.232999999999997
-16.0699,-13.0944,0.923381,1,0,0,1,-4.200000000000003
-15.9947,-13.1097,2.3017,1,0,0,1,-4.167000000000002
-15.9666,-13.1919,2.6066,1,0,0,1,-4.133000000000003
-15.8074,-13.1595,4.87245,1,0,0,1,-4.100000000000001
-16.3663,-13.1675,16.7676,1,0,0,1,-4.067
-16.5241,-13.1528,4.7544,1,0,0,1,-4.033000000000001
-16.7873,-13.3584,10.0188,1,0,0,1,-4.0
-16.9438,-13.4147,4.98912,1,0,0,1,-3.9669999999999987
-16.1341,-13.3449,24.3826,1,0,0,1,-3.933
-16.2397,-13.4067,3.67259,1,0,0,1,-3.8999999999999986
-16.1863,-13.3725,1.90505,1,0,0,1,-3.8669999999999973
-16.1662,-13.3343,1.29378,1,0,0,1,-3.8329999999999984
-16.1539,-13.2823,1.60379,0,1,0,1,-3.799999999999997
-16.0953,-13.1344,4.77074,1,0,0,1,-3.767000000000003
-16.0839,-13.0632,2.16494,1,0,0,1,-3.732999999999997
-16.0462,-12.999,2.23154,1,0,0,1,-3.700000000000003
-16.0661,-13.1197,3.66728,1,0,0,1,-3.6670000000000016
